,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1360.0,370.0,486.0,2216.0,216.0,16.0,423.0,655.0
Bulgaria,,,,0.0,,,,0.0
Germany (until 1990 former territory of the FRG),1332.0,380.0,480.0,2192.0,211.0,27.0,444.0,682.0
Estonia,1318.0,478.0,504.0,2300.0,199.0,23.0,348.0,570.0
Greece,1374.0,331.0,539.0,2244.0,210.0,19.0,403.0,632.0
Spain,1344.0,398.0,574.0,2316.0,178.0,35.0,346.0,559.0
France,1387.0,412.0,495.0,2294.0,180.0,21.0,348.0,549.0
Italy,1341.0,373.0,640.0,2354.0,155.0,25.0,342.0,522.0
Latvia,,,,0.0,,,,0.0
Lithuania,,,,0.0,,,,0.0
Luxembourg,1388.0,467.0,489.0,2344.0,169.0,29.0,329.0,527.0
Hungary,1360.0,370.0,584.0,2314.0,207.0,9.0,346.0,562.0
Netherlands,1378.0,380.0,452.0,2210.0,197.0,19.0,436.0,652.0
Austria,1281.0,451.0,553.0,2285.0,164.0,28.0,399.0,591.0
Poland,1345.0,385.0,572.0,2302.0,179.0,20.0,376.0,575.0
Romania,1389.0,404.0,609.0,2402.0,171.0,8.0,287.0,466.0
Slovenia,,,,0.0,,,,0.0
Finland,1300.0,423.0,476.0,2199.0,209.0,31.0,428.0,668.0
United Kingdom,1284.0,462.0,488.0,2234.0,192.0,15.0,388.0,595.0
Norway,1262.0,445.0,460.0,2167.0,194.0,29.0,478.0,701.0
Serbia,1322.0,367.0,601.0,2290.0,200.0,19.0,370.0,589.0
