country,country_code,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,BE,1305.0,502.0,307.0,2114.0,262.0,26.0,471.0,759.0,0.359035
Bulgaria,BG,,,,0.0,,,,0.0,
Germany (until 1990 former territory of the FRG),DE,1294.0,542.0,297.0,2133.0,241.0,29.0,465.0,735.0,0.344585
Estonia,EE,1313.0,550.0,316.0,2179.0,256.0,29.0,400.0,685.0,0.314364
Greece,EL,1402.0,513.0,195.0,2110.0,254.0,31.0,478.0,763.0,0.361611
Spain,ES,1362.0,576.0,267.0,2205.0,215.0,50.0,404.0,669.0,0.303401
France,FR,1355.0,575.0,298.0,2228.0,208.0,32.0,381.0,621.0,0.278725
Italy,IT,1345.0,674.0,214.0,2233.0,189.0,36.0,414.0,639.0,0.286162
Latvia,LV,,,,0.0,,,,0.0,
Lithuania,LT,,,,0.0,,,,0.0,
Luxembourg,LU,1360.0,648.0,243.0,2251.0,202.0,41.0,370.0,613.0,0.272323
Hungary,HU,1379.0,523.0,320.0,2222.0,246.0,16.0,388.0,650.0,0.292529
Netherlands,NL,1305.0,581.0,294.0,2180.0,222.0,26.0,441.0,689.0,0.316055
Austria,AT,1254.0,684.0,287.0,2225.0,186.0,36.0,424.0,646.0,0.290337
Poland,PL,1298.0,626.0,309.0,2233.0,219.0,25.0,400.0,644.0,0.288401
Romania,RO,1408.0,611.0,272.0,2291.0,220.0,12.0,345.0,577.0,0.251855
Slovenia,SI,,,,0.0,,,,0.0,
Finland,FI,1258.0,510.0,317.0,2085.0,264.0,39.0,473.0,776.0,0.372182
United Kingdom,UK,1246.0,629.0,281.0,2156.0,233.0,22.0,407.0,662.0,0.30705
Norway,NO,1222.0,591.0,341.0,2154.0,215.0,32.0,471.0,718.0,0.333333
Serbia,RS,1311.0,573.0,266.0,2150.0,248.0,28.0,451.0,727.0,0.33814
