country,country_code,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,BE,1446.0,179.0,408.0,2033.0,268.0,28.0,548.0,844.0,0.41515
Bulgaria,BG,,,,0.0,,,,0.0,
Germany (until 1990 former territory of the FRG),DE,1429.0,167.0,392.0,1988.0,267.0,37.0,576.0,880.0,0.442656
Estonia,EE,1408.0,232.0,488.0,2128.0,248.0,33.0,457.0,738.0,0.346805
Greece,EL,1466.0,225.0,371.0,2062.0,247.0,31.0,533.0,811.0,0.393307
Spain,ES,1476.0,222.0,415.0,2113.0,228.0,52.0,483.0,763.0,0.361098
France,FR,1472.0,224.0,417.0,2113.0,218.0,40.0,467.0,725.0,0.343114
Italy,IT,1439.0,266.0,436.0,2141.0,195.0,44.0,494.0,733.0,0.342363
Latvia,LV,,,,0.0,,,,0.0,
Lithuania,LT,,,,0.0,,,,0.0,
Luxembourg,LU,1512.0,207.0,400.0,2119.0,225.0,50.0,476.0,751.0,0.354412
Hungary,HU,1458.0,175.0,502.0,2135.0,262.0,18.0,456.0,736.0,0.344731
Netherlands,NL,1454.0,184.0,378.0,2016.0,248.0,28.0,576.0,852.0,0.422619
Austria,AT,1390.0,242.0,418.0,2050.0,221.0,45.0,557.0,823.0,0.401463
Poland,PL,1434.0,238.0,426.0,2098.0,225.0,33.0,521.0,779.0,0.371306
Romania,RO,1518.0,184.0,438.0,2140.0,243.0,20.0,464.0,727.0,0.33972
Slovenia,SI,,,,0.0,,,,0.0,
Finland,FI,1384.0,185.0,415.0,1984.0,272.0,44.0,564.0,880.0,0.443548
United Kingdom,UK,1348.0,289.0,422.0,2059.0,253.0,23.0,495.0,771.0,0.374454
Norway,NO,1348.0,188.0,436.0,1972.0,247.0,42.0,610.0,899.0,0.455882
Serbia,RS,1388.0,287.0,449.0,2124.0,240.0,29.0,487.0,756.0,0.355932
