,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1426.0,189.0,334.0,1949.0,300.0,36.0,589.0,925.0
Bulgaria,,,,0.0,,,,0.0
Germany (until 1990 former territory of the FRG),1416.0,188.0,325.0,1929.0,290.0,40.0,610.0,940.0
Estonia,1408.0,255.0,385.0,2048.0,281.0,38.0,493.0,812.0
Greece,1487.0,280.0,197.0,1964.0,282.0,41.0,590.0,913.0
Spain,1491.0,260.0,288.0,2039.0,248.0,59.0,526.0,833.0
France,1462.0,243.0,333.0,2038.0,242.0,50.0,504.0,796.0
Italy,1453.0,328.0,250.0,2031.0,225.0,53.0,562.0,840.0
Latvia,,,,0.0,,,,0.0
Lithuania,,,,0.0,,,,0.0
Luxembourg,1502.0,240.0,313.0,2055.0,251.0,56.0,508.0,815.0
Hungary,1486.0,210.0,359.0,2055.0,289.0,24.0,497.0,810.0
Netherlands,1433.0,204.0,326.0,1963.0,266.0,34.0,602.0,902.0
Austria,1402.0,272.0,317.0,1991.0,240.0,49.0,596.0,885.0
Poland,1421.0,296.0,312.0,2029.0,255.0,38.0,555.0,848.0
Romania,1538.0,227.0,302.0,2067.0,274.0,22.0,502.0,798.0
Slovenia,,,,0.0,,,,0.0
Finland,1377.0,191.0,337.0,1905.0,308.0,50.0,598.0,956.0
United Kingdom,1330.0,333.0,336.0,1999.0,283.0,27.0,521.0,831.0
Norway,1348.0,192.0,378.0,1918.0,271.0,49.0,632.0,952.0
Serbia,1394.0,367.0,268.0,2029.0,271.0,35.0,542.0,848.0
