country,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure,GHI
Belgium,1463.0,169.0,474.0,2106.0,236.0,21.0,509.0,766.0,0.363723
Bulgaria,,,,0.0,,,,0.0,
Germany (until 1990 former territory of the FRG),1440.0,148.0,458.0,2046.0,245.0,33.0,543.0,821.0,0.401271
Estonia,1407.0,212.0,574.0,2193.0,218.0,29.0,428.0,675.0,0.307798
Greece,1445.0,177.0,533.0,2155.0,216.0,23.0,484.0,723.0,0.335499
Spain,1461.0,183.0,540.0,2184.0,203.0,44.0,443.0,690.0,0.315934
France,1481.0,205.0,494.0,2180.0,195.0,32.0,432.0,659.0,0.302294
Italy,1422.0,203.0,618.0,2243.0,167.0,33.0,429.0,629.0,0.280428
Latvia,,,,0.0,,,,0.0,
Lithuania,,,,0.0,,,,0.0,
Luxembourg,1522.0,172.0,487.0,2181.0,199.0,44.0,444.0,687.0,0.314993
Hungary,1430.0,143.0,634.0,2207.0,235.0,13.0,418.0,666.0,0.301767
Netherlands,1474.0,166.0,428.0,2068.0,227.0,22.0,547.0,796.0,0.384913
Austria,1380.0,214.0,519.0,2113.0,200.0,42.0,518.0,760.0,0.359678
Poland,1448.0,185.0,528.0,2161.0,197.0,29.0,489.0,715.0,0.330865
Romania,1500.0,141.0,566.0,2207.0,212.0,16.0,428.0,656.0,0.297236
Slovenia,,,,0.0,,,,0.0,
Finland,1390.0,178.0,488.0,2056.0,240.0,38.0,528.0,806.0,0.392023
United Kingdom,1368.0,246.0,507.0,2121.0,223.0,17.0,470.0,710.0,0.334748
Norway,1349.0,181.0,485.0,2015.0,227.0,35.0,589.0,851.0,0.422333
Serbia,1385.0,211.0,611.0,2207.0,212.0,23.0,434.0,669.0,0.303126
