,basic_needs,pro_study,household_family,total_constraint,leisure_media,leisure_sports_outdoors,leisure_social_meetings,total_leisure
Belgium,1320.0,450.0,496.0,2266.0,208.0,14.0,388.0,610.0
Bulgaria,,,,0.0,,,,0.0
Germany (until 1990 former territory of the FRG),1283.0,488.0,490.0,2261.0,193.0,23.0,397.0,613.0
Estonia,1283.0,585.0,476.0,2344.0,193.0,21.0,317.0,531.0
Greece,1346.0,391.0,542.0,2279.0,208.0,18.0,372.0,598.0
Spain,1296.0,483.0,588.0,2367.0,168.0,32.0,308.0,508.0
France,1351.0,499.0,496.0,2346.0,174.0,17.0,315.0,506.0
Italy,1309.0,439.0,648.0,2396.0,152.0,21.0,308.0,481.0
Latvia,,,,0.0,,,,0.0
Lithuania,,,,0.0,,,,0.0
Luxembourg,1335.0,580.0,489.0,2404.0,157.0,22.0,286.0,465.0
Hungary,1331.0,461.0,563.0,2355.0,196.0,7.0,319.0,522.0
Netherlands,1339.0,466.0,463.0,2268.0,183.0,18.0,391.0,592.0
Austria,1239.0,540.0,563.0,2342.0,150.0,24.0,353.0,527.0
Poland,1298.0,477.0,595.0,2370.0,171.0,16.0,323.0,510.0
Romania,1344.0,507.0,626.0,2477.0,157.0,5.0,230.0,392.0
Slovenia,,,,0.0,,,,0.0
Finland,1264.0,521.0,472.0,2257.0,195.0,28.0,386.0,609.0
United Kingdom,1251.0,547.0,480.0,2278.0,179.0,14.0,354.0,547.0
Norway,1228.0,555.0,447.0,2230.0,183.0,27.0,434.0,644.0
Serbia,1298.0,429.0,597.0,2324.0,194.0,17.0,343.0,554.0
